timestamp,input_text,true_chapter,pred_1,score_1,pred_2,score_2,pred_3,score_3,human_choice,human_chapter,model_correct,human_correct
2026-02-25T14:34:15.935362,Better eye: profound vision impairment; lesser eye: profound vision impairment,Nervous System and Sense Organs,Nervous System and Sense Organs,0.29544341564178467,Circulatory System,0.14307504892349243,Perinatal Conditions,0.12104294449090958,1,Nervous System and Sense Organs,True,True
2026-02-25T14:34:39.301485,Endocrine disorder arising from mental factors,Mental Disorders,"Endocrine, Nutritional, Metabolic, Immunity",0.49086660146713257,Mental Disorders,0.4472188949584961,"Symptoms, Signs, Ill-defined Conditions",0.1903524100780487,1,"Endocrine, Nutritional, Metabolic, Immunity",False,False
2026-02-25T14:34:41.739805,Deviated nasal septum,Respiratory System,Respiratory System,0.2763561010360718,Infectious and Parasitic Diseases,0.2659550607204437,Skin and Subcutaneous Tissue,0.2407969832420349,1,Respiratory System,True,True
2026-02-25T14:34:45.243736,Chills (without fever),"Symptoms, Signs, Ill-defined Conditions","Symptoms, Signs, Ill-defined Conditions",0.515381932258606,Infectious and Parasitic Diseases,0.2992395758628845,Skin and Subcutaneous Tissue,0.17931202054023743,1,"Symptoms, Signs, Ill-defined Conditions",True,True
2026-02-25T14:36:23.053357,Bagassosis,Respiratory System,Congenital Anomalies,0.25964152812957764,"Symptoms, Signs, Ill-defined Conditions",0.23875796794891357,Respiratory System,0.232967346906662,3,Respiratory System,False,True
2026-02-25T14:37:43.705009,Malignant neoplasm of parietal lobe,Neoplasms,Neoplasms,0.4536309838294983,Congenital Anomalies,0.22547024488449097,Perinatal Conditions,0.1529671847820282,1,Neoplasms,True,True
2026-02-25T14:37:45.568262,Carbuncle and furuncle of other specified sites,Skin and Subcutaneous Tissue,Skin and Subcutaneous Tissue,0.03780144825577736,Neoplasms,0.0362841971218586,"Pregnancy, Childbirth, Puerperium",0.0016168802976608276,1,Skin and Subcutaneous Tissue,True,True
2026-02-25T14:37:47.141398,"Myeloid sarcoma, in relapse",Neoplasms,Neoplasms,0.3319240212440491,Musculoskeletal and Connective Tissue,0.186510369181633,Mental Disorders,0.14765755832195282,1,Neoplasms,True,True
2026-02-25T14:38:34.667241,"Tuberculous meningitis, bacteriological or histological examination not done",Infectious and Parasitic Diseases,Infectious and Parasitic Diseases,0.464484840631485,"Symptoms, Signs, Ill-defined Conditions",0.23442049324512482,Skin and Subcutaneous Tissue,0.20918694138526917,1,Infectious and Parasitic Diseases,True,True
2026-02-25T14:38:36.869297,"Tuberculosis of vertebral column, unspecified",Infectious and Parasitic Diseases,Infectious and Parasitic Diseases,0.3403398394584656,Musculoskeletal and Connective Tissue,0.3306531608104706,Congenital Anomalies,0.2228722721338272,1,Infectious and Parasitic Diseases,True,True
2026-02-25T14:38:39.506324,Sickle-cell trait,Diseases of the Blood,"Symptoms, Signs, Ill-defined Conditions",0.2913477420806885,Diseases of the Blood,0.22342443466186523,Congenital Anomalies,0.20015670359134674,2,Diseases of the Blood,False,True
2026-02-25T14:38:49.650553,Personal history of malignant neoplasm of eye,Supplementary V Codes,Neoplasms,0.48251447081565857,Supplementary V Codes,0.17311957478523254,Congenital Anomalies,0.15471002459526062,2,Supplementary V Codes,False,True
2026-02-25T14:38:52.418507,"Chronic osteomyelitis, hand",Musculoskeletal and Connective Tissue,Musculoskeletal and Connective Tissue,0.4394305348396301,Skin and Subcutaneous Tissue,0.23238947987556458,"Symptoms, Signs, Ill-defined Conditions",0.18866652250289917,1,Musculoskeletal and Connective Tissue,True,True
2026-02-25T14:38:55.418571,Congenital deficiency of other clotting factors,Diseases of the Blood,Congenital Anomalies,0.5046132802963257,Diseases of the Blood,0.4629307985305786,Perinatal Conditions,0.3090580701828003,2,Diseases of the Blood,False,True
2026-02-25T14:38:57.311719,"Degenerated globe or eye, unspecified",Nervous System and Sense Organs,Congenital Anomalies,0.2559742331504822,Nervous System and Sense Organs,0.22017061710357666,"Symptoms, Signs, Ill-defined Conditions",0.136174738407135,2,Nervous System and Sense Organs,False,True
2026-02-25T14:38:58.800332,Congenital ptosis,Congenital Anomalies,Congenital Anomalies,0.47829297184944153,Perinatal Conditions,0.328685998916626,Genitourinary System,0.19971062242984772,1,Congenital Anomalies,True,True
2026-02-25T14:39:00.078265,"Intervertebral disc disorder with myelopathy, thoracic region",Musculoskeletal and Connective Tissue,Musculoskeletal and Connective Tissue,0.4388697147369385,Nervous System and Sense Organs,0.23936565220355988,"Symptoms, Signs, Ill-defined Conditions",0.17277231812477112,1,Musculoskeletal and Connective Tissue,True,True
2026-02-25T14:39:08.196882,"Abdominal pain, left upper quadrant","Symptoms, Signs, Ill-defined Conditions",Digestive System,0.40558183193206787,"Symptoms, Signs, Ill-defined Conditions",0.3568834960460663,Musculoskeletal and Connective Tissue,0.242092102766037,2,"Symptoms, Signs, Ill-defined Conditions",False,True
2026-02-25T14:39:10.075445,Emotional lability,"Symptoms, Signs, Ill-defined Conditions",Mental Disorders,0.2407509684562683,"Symptoms, Signs, Ill-defined Conditions",0.2030487358570099,Circulatory System,0.15673162043094635,2,"Symptoms, Signs, Ill-defined Conditions",False,True
2026-02-25T14:39:11.042329,Congenital hydrocele,Perinatal Conditions,Congenital Anomalies,0.4872128367424011,Perinatal Conditions,0.33909285068511963,"Pregnancy, Childbirth, Puerperium",0.22661302983760834,2,Perinatal Conditions,False,True
2026-02-25T14:39:12.258540,"Open fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness",Injury and Poisoning,Injury and Poisoning,0.4564880132675171,Musculoskeletal and Connective Tissue,0.401254266500473,Nervous System and Sense Organs,0.20350900292396545,1,Injury and Poisoning,True,True
2026-02-25T14:39:13.329979,Other fetal and newborn aspiration with respiratory symptoms,Perinatal Conditions,Perinatal Conditions,0.43841636180877686,"Pregnancy, Childbirth, Puerperium",0.3671507239341736,Congenital Anomalies,0.358321875333786,1,Perinatal Conditions,True,True
2026-02-25T14:39:14.631231,Nonvenereal endemic syphilis,Infectious and Parasitic Diseases,Infectious and Parasitic Diseases,0.35491061210632324,Skin and Subcutaneous Tissue,0.26893946528434753,"Symptoms, Signs, Ill-defined Conditions",0.23647740483283997,1,Infectious and Parasitic Diseases,True,True
